STATION ID,NAME,LATITUDE,LONGITUDE,BIKE STANDS
68,HANOVER QUAY,53.344115,-6.237153,40.0
69,GRAND CANAL DOCK,53.342638,-6.238695,40.0
71,KEVIN STREET,53.337757,-6.267699,40.0
72,JOHN STREET WEST,53.343105,-6.277167,31.0
73,FRANCIS STREET,53.342081,-6.275233,30.0
74,OLIVER BOND STREET,53.343893,-6.280531,30.0
75,JAMES STREET,53.343456,-6.287409,40.0
76,MARKET STREET SOUTH,53.342296,-6.287661,38.0
77,WOLFE TONE STREET,53.348875,-6.267459,29.0
78,MATER HOSPITAL,53.359967,-6.264828,40.0
79,ECCLES STREET EAST,53.358115,-6.265601,27.0
80,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,40.0
81,ST. JAMES HOSPITAL (CENTRAL),53.339983,-6.295594,40.0
82,MOUNT BROWN,53.341645,-6.29719,22.0
83,EMMET ROAD,53.340714,-6.308191,40.0
84,BROOKFIELD ROAD,53.339005,-6.300217,30.0
85,ROTHE ABBEY,53.338776,-6.30395,35.0
86,PARKGATE STREET,53.347972,-6.291804,38.0
87,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,38.0
88,BLACKHALL PLACE,53.3488,-6.281637,30.0
89,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,40.0
90,BENSON STREET,53.344153,-6.233451,40.0
91,SOUTH DOCK ROAD,53.341833,-6.231291,30.0
92,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,40.0
93,HEUSTON STATION (CENTRAL),53.346603,-6.296924,40.0
94,HEUSTON STATION (CAR PARK),53.346985,-6.297804,40.0
95,ROYAL HOSPITAL,53.343897,-6.29706,40.0
96,KILMAINHAM LANE,53.341805,-6.305085,30.0
97,KILMAINHAM GAOL,53.342113,-6.310015,40.0
98,FREDERICK STREET SOUTH,53.341515,-6.256853,40.0
99,CITY QUAY,53.346637,-6.246154,30.0
100,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,25.0
101,KING STREET NORTH,53.350291,-6.273507,30.0
102,WESTERN WAY,53.354929,-6.269425,40.0
103,GRANGEGORMAN LOWER (SOUTH),53.354663,-6.278681,40.0
104,GRANGEGORMAN LOWER (CENTRAL),53.355173,-6.278424,40.0
105,GRANGEGORMAN LOWER (NORTH),53.355954,-6.278378,36.0
106,RATHDOWN ROAD,53.35893,-6.280337,40.0
107,CHARLEVILLE ROAD,53.359157,-6.281866,40.0
108,AVONDALE ROAD,53.359405,-6.276142,35.0
109,BUCKINGHAM STREET LOWER,53.353331,-6.249319,29.0
110,PHIBSBOROUGH ROAD,53.356307,-6.273717,40.0
111,MOUNTJOY SQUARE EAST,53.356717,-6.256359,40.0
112,NORTH CIRCULAR ROAD (O'CONNELL'S),53.357841,-6.251557,30.0
113,MERRION SQUARE SOUTH,53.338614,-6.248606,40.0
114,WILTON TERRACE (PARK),53.333653,-6.248345,40.0
115,KILLARNEY STREET,53.354845,-6.247579,30.0
116,BROADSTONE,53.3547,-6.272314,30.0
117,HANOVER QUAY EAST,53.343653,-6.231755,40.0
507,,53.3546,-6.24262,100000.0
